tesorter2_name	pfam_id	pfam_acc	order	superfamily	clade	gene	n_repbase_hits	confidence	description
Class_I/LINE/L1/L1:L1-Tnp_22_dsRBD	Tnp_22_dsRBD	PF17490.8	LINE	L1	L1	Tnp_22_dsRBD	261	OK-evidence	L1 transposable element dsRBD-like domain  [245/261 hits are LINE; commonest type L1 x245]
Class_I/LINE/L1/L1:L1-Tnp_22_trimer	Tnp_22_trimer	PF17489.8	LINE	L1	L1	Tnp_22_trimer	38	OK-evidence	L1 transposable element trimerization domain  [36/38 hits are LINE; commonest type L1 x36]
Class_I/LINE/L1/L1:L1-Transposase_22	Transposase_22	PF02994.21	LINE	L1	L1	Transposase_22	262	OK-evidence	L1 transposable element RBD-like domain  [248/262 hits are LINE; commonest type L1 x248]
Class_I/LTR/Copia/LTR:LTR-RVT_2	RVT_2	PF07727.20	LTR	Copia	LTR	RVT_2	1	REVIEW	Reverse transcriptase (RNA-dependent DNA polymerase)
Class_I/LTR/Copia/Retrovirus:Retrovirus-INT	gag_pre-integrs	PF13976.12	LTR	Copia	Retrovirus	INT	1	REVIEW	GAG-pre-integrase domain
Class_I/LTR/Copia/Retrovirus:Retrovirus-Retrotran_gag_2	Retrotran_gag_2	PF14223.15	LTR	Copia	Retrovirus	Retrotran_gag_2	0	REVIEW	gag-polypeptide of LTR copia-type
Class_I/LTR/Copia/Retrovirus:Retrovirus-Retrotran_gag_3	Retrotran_gag_3	PF14244.13	LTR	Copia	Retrovirus	Retrotran_gag_3	0	REVIEW	gag-polypeptide of LTR copia-type
Class_I/LTR/Gypsy/LTR:LTR-Integrase_H2C2	Integrase_H2C2	PF17921.8	LTR	Gypsy	LTR	Integrase_H2C2	0	REVIEW	Integrase zinc binding domain
Class_I/LTR/Gypsy/LTR:LTR-Integrase_p58_C	Integrase_p58_C	PF22938.3	LTR	Gypsy	LTR	Integrase_p58_C	0	REVIEW	Integrase p58, C-terminal domain
Class_I/LTR/Gypsy/LTR:LTR-RT_RNaseH	RT_RNaseH	PF17917.8	LTR	Gypsy	LTR	RT_RNaseH	0	REVIEW	RNase H-like domain found in reverse transcriptase
Class_I/LTR/Gypsy/LTR:LTR-RT_RNaseH_2	RT_RNaseH_2	PF17919.8	LTR	Gypsy	LTR	RT_RNaseH_2	0	REVIEW	RNase H-like domain found in reverse transcriptase
Class_I/LTR/Gypsy/LTR:LTR-rve_3	rve_3	PF13683.13	LTR	Gypsy	LTR	rve_3	0	REVIEW	Integrase core domain
Class_I/LTR/Gypsy/Retrovirus:Retrovirus-gag_asp_proteas	gag-asp_proteas	PF13975.12	LTR	Gypsy	Retrovirus	gag_asp_proteas	0	REVIEW	gag-polyprotein putative aspartyl protease
Class_I/LTR/Retroviridae/LTR:LTR-Integrase_Zn	Integrase_Zn	PF02022.26	LTR	Retroviridae	LTR	Integrase_Zn	0	REVIEW	Integrase Zinc binding domain
Class_I/LTR/Retroviridae/LTR:LTR-MLVIN_C	MLVIN_C	PF18697.8	LTR	Retroviridae	LTR	MLVIN_C	3	REVIEW	Murine leukemia virus (MLV) integrase (IN) C-terminal domain
Class_I/LTR/Retroviridae/LTR:LTR-RVT_thumb	RVT_thumb	PF06817.20	LTR	Retroviridae	LTR	RVT_thumb	0	REVIEW	Reverse transcriptase thumb domain
Class_I/LTR/Retroviridae/Retroviridae:Retroviridae-ENV	GP41	PF00517.23	LTR	Retroviridae	Retroviridae	ENV	9	OK-evidence	Retroviral envelope protein  [9/9 hits are LTR; commonest type ERV2 x8]
Class_I/LTR/Retroviridae/Retroviridae:Retroviridae-Gag_p10	Gag_p10	PF02337.23	LTR	Retroviridae	Retroviridae	Gag_p10	18	OK-evidence	Retroviral GAG p10 protein  [18/18 hits are LTR; commonest type ERV2 x18]
Class_I/LTR/Retroviridae/Retroviridae:Retroviridae-Gag_p30	Gag_p30	PF02093.21	LTR	Retroviridae	Retroviridae	Gag_p30	10	OK-evidence	Gag P30 core shell protein  [10/10 hits are LTR; commonest type ERV1 x10]
Class_I/LTR/Retroviridae/Retroviridae:Retroviridae-INT	IN_DBD_C	PF00552.28	LTR	Retroviridae	Retroviridae	INT	9	OK-evidence	Integrase DNA binding domain  [9/9 hits are LTR; commonest type ERV2 x9]
Class_I/LTR/Retroviridae/Retrovirus:Retrovirus-Gag_p24	Gag_p24	PF00607.26	LTR	Retroviridae	Retrovirus	Gag_p24	4	REVIEW	gag protein p24 N-terminal domain
Class_I/LTR/Retroviridae/Retrovirus:Retrovirus-Gag_p24_C	Gag_p24_C	PF19317.5	LTR	Retroviridae	Retrovirus	Gag_p24_C	0	REVIEW	Gag protein p24 C-terminal domain
Class_I/LTR/Retroviridae/Retrovirus:Retrovirus-zf_CCHC_5	zf-CCHC_5	PF14787.12	LTR	Retroviridae	Retrovirus	zf_CCHC_5	3	REVIEW	GAG-polyprotein viral zinc-finger
Class_I/LTR/unknown/LTR:LTR-rve	rve	PF00665.33	LTR	unknown	LTR	rve	16	REVIEW	Integrase core domain
